sales_channel,route,AverageFlightDuration,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,ICNPER,6.619999999999951,4.21,0.11,0.03,0.07
Internet,CEBSYD,8.58,4.2,0.09,0.05,0.03
Internet,MELWUH,8.83,4.19,0,0,0
Internet,MELVTE,8.83,4.19,0.11,0,0
Internet,HKGPER,5.620000000000004,4.19,0.11,0.05,0.07
Internet,KTMSIN,4.75,4.17,0.13,0.05,0.05
Internet,CKGMEL,8.83,4.17,0.09,0,0.02
Internet,COKOOL,8.829999999999995,4.17,0.09,0.04,0.08
Internet,DMKKTM,4.75,4.16,0.11,0.02,0.02
Internet,PERPNH,5.619999999999992,4.14,0.12,0.06,0.07
Internet,CCUSYD,8.580000000000014,4.13,0.09,0.05,0.08
Internet,HANPER,5.620000000000002,4.11,0.11,0.04,0.06
Internet,HKGSYD,8.580000000000018,4.11,0.07,0.04,0.06
Internet,DELDMK,5.519999999999998,4.11,0.07,0.02,0.02
Internet,HANSYD,8.58,4.11,0.08,0.03,0.04
Internet,CTUSYD,8.580000000000004,4.07,0.08,0.02,0.05
Internet,KLOMEL,8.830000000000004,4.06,0.08,0.04,0.06
Internet,MELPUS,8.829999999999997,4.02,0.08,0.03,0.06
Internet,PERSZX,5.620000000000001,4.01,0.13,0.04,0.11
Internet,BWNCKG,4.83,4,0.21,0.01,0.01
Internet,DPSKTM,4.75,4,0.13,0.03,0.05
Internet,BTUPER,5.620000000000003,3.98,0.11,0.06,0.07
Internet,CTUSIN,4.72,3.96,0.06,0.02,0.04
Internet,JEDMNL,9.5,3.95,0.11,0.05,0.05
Internet,CNXMEL,8.829999999999998,3.95,0.06,0.04,0.05
Internet,SUBSYD,8.58,3.95,0.11,0.03,0.04
Internet,GOIOOL,8.83,3.94,0.08,0.02,0.07
Internet,ICNRGN,6.620000000000002,3.94,0.08,0.02,0.05
Internet,MAAOOL,8.829999999999997,3.94,0.08,0.04,0.08
Internet,CKGSYD,8.58,3.94,0.12,0.02,0.07
Internet,JHBSYD,8.58,3.93,0.09,0.05,0.08
Internet,SGNSYD,8.579999999999947,3.93,0.09,0.04,0.05
Internet,ICNOOL,8.829999999999986,3.92,0.08,0.04,0.06
Internet,PERSGN,5.619999999999956,3.89,0.12,0.05,0.06
Internet,HGHMEL,8.830000000000005,3.88,0.09,0.01,0.06
Internet,CTUMEL,8.830000000000004,3.87,0.07,0.02,0.04
Internet,SINWUH,5.129999999999999,3.86,0.13,0.04,0.08
Internet,CGKTPE,4.670000000000004,3.86,0.14,0.05,0.07
Internet,CNXOOL,8.830000000000007,3.86,0.07,0.05,0.05
Internet,MYYPER,5.620000000000004,3.85,0.15,0.05,0.06
Internet,MELMYY,8.830000000000004,3.85,0.09,0.05,0.04
Internet,CMBPEK,6.4199999999999955,3.84,0.08,0.02,0.05
Internet,ICNMAA,6.620000000000003,3.84,0.12,0.06,0.11
Internet,DMKPER,5.619999999999926,3.84,0.09,0.06,0.05
Internet,MELRGN,8.83,3.83,0.09,0.04,0.06
Internet,OOLSBW,8.830000000000005,3.82,0.07,0.05,0.04
Internet,DELSUB,5.519999999999998,3.82,0.14,0.06,0.09
Internet,MRUSYD,8.580000000000002,3.81,0.11,0.08,0.08
Internet,IKASGN,8.15,3.8,0.06,0.06,0
Internet,BDOTPE,4.670000000000001,3.8,0.11,0,0.05
Internet,AKLKUL,8.830000000000366,3.78,0.08,0.03,0.05
Internet,CCUTPE,4.669999999999998,3.78,0.13,0.03,0.08
Internet,PUSSYD,8.580000000000007,3.77,0.09,0.04,0.06
Internet,OOLSGN,8.829999999999965,3.76,0.08,0.04,0.06
Internet,MYYXIY,5,3.75,0.2,0.05,0.15
Internet,HGHSUB,5.069999999999998,3.75,0.15,0.04,0.11
Internet,OOLXIY,8.83,3.74,0.1,0.05,0.02
Internet,KCHPEK,6.420000000000004,3.71,0.13,0.04,0.04
Internet,HKGMEL,8.830000000000014,3.71,0.08,0.02,0.05
Internet,KTMSGN,4.75,3.7,0.12,0,0
Internet,SBWTPE,4.670000000000004,3.7,0.17,0.04,0.05
Internet,CMBWUH,5.13,3.7,0.19,0,0
Internet,JHBMEL,8.830000000000004,3.7,0.09,0.04,0.06
Internet,CGKXIY,5,3.69,0.12,0,0.11
